"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
67444.9997542135,64036.3364728301,64709.0025659975,67629.884080907,68251.7596082836,67432.8974752088,66734.3700063344,71968.6774205184,62305.7221283082,71696.3918385157
67576.7041682092,64219.0536141269,64923.7136598629,67811.293010873,68470.3961782634,67644.3843912882,66915.1377419466,72135.7648650786,62583.2331210201,71874.269505305
67798.2925235903,64482.5156431561,65143.7178759941,67985.8063076008,68787.0964201472,67845.9366595021,67096.2008618214,72375.9089397526,62783.194724382,72152.4325588328
67928.4010830972,64668.8724297026,65372.3656569825,68239.1216737548,69032.5061573245,68139.8946702065,67282.4535108494,72499.4305948445,62991.9487423308,72337.6918430815
68123.6616287987,64938.2354497804,65603.8521764214,68431.5229126292,69364.4036172174,68355.9007635766,67553.6873194264,72687.7300694844,63294.3866796943,72621.2615954265
68329.722054817,65214.0924822617,65905.3979571111,68708.0035214908,69696.2993561451,68661.7145969751,67841.2201385445,72785.9504248124,63609.3453486652,72826.3064502429
68476.0475291,65414.635736569,66093.5901758833,68985.5028545526,70023.9704074164,68880.914278641,68055.1963176398,72971.1592183118,63847.3473209749,73124.2945279954
68961.6298452668,65990.9416340265,66653.0128579844,69572.6996206967,70662.0456701358,69505.3569618748,68646.8241021018,73381.1222661674,64483.469274165,73730.7281257646
69206.9966028983,66290.2824843993,66954.7772436034,69883.0431061815,70991.256089654,69834.0621964721,68957.0329233794,73602.057170292,64814.0707569934,74048.6847359885
69449.3789436708,66596.7102847817,67266.5862958209,70199.0551954156,71310.1167168114,70176.1752635489,69272.8104453042,73824.3786368942,65157.0278978476,74377.0439661059
240939.379258003,232441.613416418,237564.215409165,244247.979671968,242473.926205016,241735.386190664,240659.072213378,242089.984659632,235944.444292252,250441.20334307
