"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
63652.9913877012,59094.6548505993,62917.8066273213,65962.5257165401,65471.3758384458,65576.4047626644,65222.4609760494,64789.0893143617,68996.8663826392,62796.8430931448
63703.3757179771,59124.4808153745,62932.8830497557,65981.5740359222,65499.0894248899,65606.0293800091,65242.6224369141,64815.289267943,68990.0429054115,62855.6908673283
63768.900083448,59173.4589983419,62967.1120198812,66018.4167533624,65543.2345504328,65653.2263123261,65283.6221814592,64861.8598155952,69003.3393553396,62928.9432039096
63850.4258296904,59241.8228395692,63018.6112940246,66069.2818674341,65601.1547572297,65719.241316132,65338.2943409479,64925.548452574,69031.4755858404,63018.0194781455
63950.1775382246,59324.7530088183,63090.8874217542,66140.2747658728,65682.6932371715,65806.0210705751,65415.3355672463,65008.2892184664,69081.4823709626,63126.8729670334
64070.5411002923,59424.8500590306,63182.4923410508,66231.7214193882,65788.4203306137,65914.0668359665,65513.2340096031,65109.9952143889,69152.3411580311,63253.8465820671
64205.7888732489,59549.1333828415,63297.6016994966,66343.9555081706,65910.3221071705,66041.9019344674,65633.5288875836,65235.3572646473,69242.4709464817,63400.514675719
64538.2923191008,59850.6980302849,63596.7489134591,66640.5667813757,66205.25407484,66355.7070536871,65929.0113754495,65554.0655465315,69500.6153963064,63767.45199858
64733.996031543,60035.4396448385,63777.3714179808,66823.3719386859,66389.8217389505,66546.6659491911,66110.0059100438,65744.7567225888,69668.1470257874,63979.9301382526
64951.7471757327,60239.4201785033,63982.4382655198,67026.2804952847,66592.5638461807,66754.0757886889,66309.6242246765,65959.9425379175,69850.0675400755,64214.4349778648
217722.259508274,212941.829820132,219498.879593679,221646.242935372,221003.457314078,221052.637029848,217729.820158744,222442.088241783,219657.182163441,220046.531922393
