"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
15639.4078478925,10589.5755989983,15211.6420859855,14525.7284744258,16075.0608094435,13393.4363398928,14404.8074822769,18250.8470809925,19156.1952096084,14844.7520834886
15619.2818699704,10585.6916767665,15156.0129536576,14488.2361953981,16044.6589843305,13358.3345189029,14387.702599295,18205.8991390551,19125.1227681153,14802.6011232805
15606.4241043105,10600.8516076285,15107.1668951101,14459.7939822074,16019.676817174,13329.1121755781,14381.5403861891,18166.4481041997,19093.7668052009,14762.0822348047
15604.6823438764,10618.7682242331,15067.8720359384,14439.4986969344,16002.0915194038,13307.0826723635,14384.8587409701,18132.6898669052,19065.098036315,14726.7328718591
15599.7127201457,10644.025768759,15030.5802267063,14427.1894063645,15996.6696922958,13282.1176195877,14389.3529496095,18105.8538564947,19046.8639393844,14699.2621494507
15610.8961161729,10668.0864554185,14998.1870203101,14422.6474773599,16002.8434421615,13260.9658562115,14403.3990046311,18085.8187294766,19031.291596528,14681.4807271066
15620.5720641286,10695.8066063053,14965.9142000128,14424.8818290837,16012.7078579212,13248.29659311,14420.0289343141,18066.3252735821,19019.1936693653,14668.7820885006
15673.7765229955,10756.5693479715,14910.620916797,14447.4361312916,16057.3672247989,13235.7035236532,14480.1657590343,18035.8883032029,18994.3527195685,14663.1414052175
15707.9678947296,10799.4823491586,14890.3801560712,14469.3958164559,16087.9107269176,13238.9013360913,14522.266851221,18031.4873629961,18989.7626141012,14663.5596671848
15743.6284048355,10843.5712101052,14873.3234196967,14494.681405455,16122.3059172087,13244.8788364469,14566.1472400112,18028.677626115,18988.2447353845,14665.5446662415
35789.0756451719,25217.2113050218,32433.2855313729,32771.5925721713,35048.6279152794,27977.0711932628,32165.0388147016,34644.0969690286,33139.916839063,31352.6771393966
