"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
19068.6725117002,16386.7930551488,13867.4620997112,14299.8261467458,18944.4563656597,11777.9639537016,15263.4619831835,14480.800010726,15574.0758679251,17235.992618366
19015.5606970257,16333.7473804908,13802.9005751817,14289.1988781657,18922.6567870367,11740.0431847189,15193.7354311726,14387.9761585568,15576.5356967399,17240.3904504446
18957.8029716184,16289.8533390939,13746.7922627275,14276.5789712342,18916.9061108736,11711.6275950761,15126.942029227,14304.7583013577,15592.7145893497,17245.1382462396
18934.5423585686,16245.1099166749,13693.7073491941,14274.5760598218,18920.3789862503,11686.1476561303,15066.938734761,14223.7741684681,15606.5111669524,17254.312316147
18909.9805508989,16204.3379508733,13644.0527914594,14260.2745174149,18912.6605806633,11671.3629055925,15021.6998796253,14143.9309631549,15635.3600352289,17263.5822234141
18906.2558798305,16157.7615119935,13595.9202866215,14256.5868131087,18907.6343774508,11658.8056735559,14991.8134461542,14066.5878818398,15635.6814829092,17279.0679741549
18863.9174625996,16123.6325738241,13545.2494686934,14237.7968486084,18910.7452300734,11654.6536089663,14963.930553034,13991.5362937866,15648.7322715283,17308.4924111058
18817.2002701875,16057.7240696373,13455.5275217193,14226.0553922761,18897.4965209433,11665.2988619065,14944.5790308116,13851.4351546483,15675.3340382237,17380.0776848091
18791.1571555196,16031.7790242328,13404.9603475836,14222.9332766107,18897.3937010344,11675.7484527675,14937.819522775,13789.7237591794,15669.7777793699,17417.1339158247
18766.5091362574,16011.7547881507,13369.1128551382,14221.8988883119,18900.9336659075,11693.2290672796,14931.2833866788,13734.4401243992,15696.1411478245,17455.2898379908
39368.5932286168,29699.949346016,22528.6232960277,28239.8816478087,31810.54889628,38387.0834326121,31628.8835160796,26180.7035752685,30754.7682582816,33960.9655370944
