"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
16634.6138402355,16843.8573881732,21956.2182479017,20362.6744361497,14762.1204164187,14148.9483865348,16711.3899325605,12866.7983611809,15197.9600143633,22771.7446625605
16523.0864588377,16797.8028615986,21978.9619040465,20299.7781060597,14675.673264716,14155.653102609,16751.1647352779,12804.4942498894,15207.5937667431,22721.3446217138
16423.3170794675,16766.9723730449,21997.2534398792,20236.0048171115,14600.3489279008,14166.4631531809,16791.35918736,12745.2688984004,15228.1445670628,22667.1039514196
16322.4797029315,16752.0669041579,22037.1163477362,20185.9893569809,14540.3454939346,14188.2199001845,16838.7401665498,12696.2147961273,15244.9203425279,22624.6724759209
16220.2220797736,16738.0448235217,22043.042658157,20139.5175116413,14494.6107143176,14210.3843759487,16885.2862626068,12663.721657684,15278.6317494239,22592.8016210759
16123.6488390562,16728.5554790843,22062.5592681945,20101.2086490923,14460.1223148314,14230.4036006666,16935.8548702326,12633.4766165175,15318.3809758382,22576.3273110638
16041.3504099807,16727.3480892035,22088.7760895636,20071.2221210215,14431.2439521868,14253.5801413624,16986.1826264843,12617.5781997092,15353.0846173534,22563.3902539333
15870.788946405,16750.9909245573,22127.7560744806,20013.5955193748,14374.4678992822,14323.9195688869,17095.5389652165,12596.5389185689,15455.4996046361,22510.9530771389
15790.1739018727,16775.4517728575,22155.3248930447,19991.5924041318,14349.6424383197,14362.136588167,17154.7288148925,12594.7445024259,15510.7695235083,22484.6998346177
15707.8744221078,16803.709444769,22183.1646041267,19967.9553088478,14327.7710686557,14402.9061296191,17216.877023429,12594.5644449504,15568.5389845481,22459.7182110022
24561.3133772491,39966.7906223151,40704.0680956681,33444.001220321,29685.1030224733,34463.7930074307,37710.4895038839,32708.7847403374,36057.86424397,35246.7471596999
