"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
14606.9054551727,15918.2173365055,12501.2173305085,18319.4747126294,20908.0290845327,22964.3723412194,21117.0177161499,17404.6985979367,11439.399169702,15605.7516170853
14599.6758777961,15919.6753367478,12477.8465728785,18235.228595442,20842.7741161651,22939.6721272351,21170.9446932,17384.6440295928,11424.8768243846,15568.1350509489
14595.1659538812,15922.5170897495,12461.9500700526,18162.4489365516,20780.1833287886,22931.0930013959,21230.9623952646,17383.7967911247,11418.0677440877,15536.4993018399
14609.2838902248,15934.4110479173,12448.1700175731,18100.0792434025,20724.8424719257,22914.9836025213,21298.9480508138,17382.3833458916,11415.7397752625,15509.2621075024
14616.3731097371,15941.8513374678,12437.9951084823,18056.2047491255,20672.6121478081,22903.6544019013,21363.2954702444,17367.6408614517,11416.7963792166,15478.6993486531
14631.1376974016,15943.3479462846,12420.8998361617,18004.3380937788,20622.9063606269,22915.6309611513,21423.7917593431,17342.2196591868,11424.0054607167,15462.9849159654
14649.6175743581,15936.3201280984,12402.773431392,17950.9541547856,20578.866194427,22903.8789604985,21498.1036352652,17317.9933413154,11430.7629140326,15445.7116757101
14699.473144155,15927.6084622037,12374.7758122685,17871.6423979803,20478.1725666913,22925.0292610464,21617.5350687064,17280.7183055362,11453.3833346922,15410.8375964792
14724.866099652,15931.8764782286,12360.6012326167,17832.5073077353,20435.4905969069,22937.9806019113,21694.4802071317,17256.2525770114,11467.0024219654,15391.2864813391
14759.2985830333,15936.2140418426,12347.8841066808,17796.2868456962,20395.101592343,22933.8035423858,21751.1665630281,17233.650317072,11483.424195034,15375.1085280182
36934.1437540048,25866.661810175,21527.1155745543,30889.825057323,33095.4164078988,46651.5798620342,42434.3301624436,27857.9113180186,26632.2301309191,28224.554369338
