"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
13869.5216712971,12272.3093683302,14524.1081185819,15438.226361461,14398.2186612492,17764.2998993102,12693.9300432844,14815.4110797115,12015.4483305901,10510.4367147183
13828.4568977201,12263.5320645733,14512.0149273225,15407.7202487056,14373.1794400661,17746.2180429696,12660.6657509942,14796.5350210678,11990.6252613504,10480.2164602836
13793.4893988692,12258.7219861983,14496.9682769106,15373.672375982,14353.0562693968,17732.9386224885,12630.9244661124,14781.5320944857,11973.5823209245,10448.1730295822
13769.4577848399,12263.4637516668,14491.3645179389,15347.8857230406,14337.8113599049,17722.0276165859,12613.2974836172,14774.8235583341,11957.9317436801,10429.9776825644
13750.3657785777,12264.7314019721,14489.3736169202,15329.1388037578,14328.0779991676,17716.0978701116,12600.6220817865,14774.0081577423,11949.5611407081,10411.746978718
13736.7129558441,12277.4733297947,14490.1198773913,15312.0579831874,14323.9295944956,17715.8423008479,12586.7804243961,14777.7988080135,11941.7158420779,10407.1212991412
13727.3361221371,12291.407583839,14496.7284847136,15293.9386995718,14325.8045235821,17721.143423864,12583.6296763282,14784.2373832227,11938.2817269969,10400.9589969642
13718.2247422565,12322.3811921339,14515.368807126,15259.2150181399,14339.7990004913,17737.7014703734,12585.0100796057,14804.7794925666,11945.5869051511,10395.753619359
13716.2119099128,12339.8913852903,14534.6355970918,15243.137633136,14351.3312058187,17749.0820525199,12587.3493280223,14818.9501565527,11955.3358018111,10397.9502849858
13716.7285364365,12360.1525889138,14549.035946636,15235.1314778549,14366.1940465252,17761.8499487223,12596.3612669319,14836.6366512701,11967.5517371991,10402.9005007554
14893.883155971,14329.3077379617,16335.3959395735,15794.3161437296,16029.1657843458,19409.1486303655,13686.4387054574,16785.4844928269,13538.0566718415,11852.4400959435
