"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
15745.509642417,15313.8469133704,9869.68744002651,9487.55628750378,11705.5696352053,12799.6518840443,12186.88626222,11046.6080602142,12439.0042805764,18127.1812992099
15737.2192597945,15299.1988520956,9823.8806142355,9455.19449991416,11667.6121662366,12776.7752867836,12164.34335167,11003.2728641266,12410.7139091384,18077.3341194737
15734.0773470251,15299.0384858117,9782.30390179018,9429.44908186712,11632.5049192689,12757.983249271,12150.1827567402,10965.6897645956,12386.8246370481,18030.8924408678
15735.4917270197,15302.0306079996,9748.17576264697,9412.4264152444,11605.9931642529,12747.2641813779,12139.9000652998,10940.035295254,12369.8231621312,17996.144255351
15743.6380813905,15300.3063481318,9719.18473398536,9405.1189124102,11585.7965328331,12744.179512965,12138.9098177485,10918.7039044031,12357.93226483,17969.8054270716
15760.2945377796,15312.5402285514,9692.80111204095,9405.39933663866,11570.351246048,12746.9260414798,12142.9792057563,10904.5493296567,12349.0644351306,17949.9073635716
15782.0832839499,15326.4266032458,9669.52445342656,9410.02537809003,11559.2081885356,12752.5269290168,12152.929860655,10894.715595163,12348.485466458,17934.0203838611
15838.3258804055,15363.9478937213,9630.5821187052,9426.50631440776,11542.7762162711,12769.8638427316,12176.8796458954,10889.3944514226,12355.9920495963,17903.251374146
15873.5499979793,15398.4590176889,9613.95730734858,9440.87188302503,11538.2740876259,12784.8486444962,12193.234664984,10894.5356108274,12360.8415675514,17891.3538808849
15913.6864050807,15424.3092935793,9599.6684992048,9457.12380908676,11537.7961544392,12801.4399755436,12214.8853139676,10899.8581799304,12368.272348395,17882.9119812713
19039.0325623348,17725.907826617,10253.6199805375,11196.5623623153,12379.9177429388,14725.9103407272,14200.9643812985,12435.9776176396,13767.5376805697,18805.7727094698
