"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
12902.3617238896,11732.7226687762,9573.20488517783,15496.2788113201,13806.0997763671,10526.0462617405,10494.3268644006,22580.1572909364,11799.7566201642,16144.4950396333
12880.7494847659,11705.1270997459,9552.19102025797,15477.7628532091,13797.934284965,10504.5915701217,10471.0293449193,22544.164386673,11775.5019785624,16122.9896746038
12863.707891511,11686.1884042189,9536.76508058323,15468.7881283448,13790.8218183292,10489.1178080608,10448.0750959532,22504.826354263,11763.9185313058,16113.0758201678
12857.1488084498,11665.3526712616,9526.63443175624,15464.612661561,13794.4485417925,10480.4909665413,10432.2145046352,22472.6041547797,11754.8586415611,16108.7013053409
12856.4167345391,11653.5941818377,9522.01256896924,15458.3484368705,13797.9109753813,10474.1849952739,10420.8230767107,22440.719763106,11747.3329272465,16107.0131338264
12862.8795750963,11642.965813997,9521.72591240765,15460.4361583322,13808.5554508694,10471.6659043299,10413.9814265334,22409.3167249148,11740.3895114767,16109.1715424922
12874.9759954152,11634.1077491265,9523.62973970226,15461.5052464931,13820.4965599463,10470.9019070146,10412.1273589645,22378.6517491213,11732.1444059966,16117.0889990199
12912.2994077106,11621.6177937937,9535.679347834,15466.5429653833,13849.3438591024,10474.7761644389,10416.3995671319,22323.8424551054,11714.6431907024,16141.9081532423
12935.9377410313,11614.6238895439,9543.45834771467,15477.514762599,13866.9785039046,10477.1201758826,10424.9139454485,22296.2675652808,11705.8136817513,16164.7466511036
12963.7734355585,11605.7020613316,9552.9582180848,15484.0586308362,13890.0473351435,10480.5286102151,10429.7022846272,22274.443685883,11705.9910696421,16184.3749981928
15181.1399792394,12208.1461098697,10961.4748552501,17017.7869465379,15792.0384499034,11672.0302959231,11760.2273003251,22441.0425181854,12463.0155991231,18175.2028314596
